File,Line,Sentiment,Mixed Score,Negative Score,Neutral Score,Positive Score
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",5.04E-05,0.97382915,0.01646756,0.009652979
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",7.67E-05,0.000472438,0.998206377,0.001244525
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",3.57E-06,0.004794226,0.992042363,0.003159824
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.000508454,0.002484719,0.992776752,0.00423007
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.010015699,0.266849846,0.695651472,0.027482938
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",0.435682744,0.042428579,0.010288442,0.511600196
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",0.003657711,0.912922561,0.078364052,0.005055599
" ""The Sun Also Rises.txt""",1," ""MIXED""",0.452571571,0.181669503,0.06830243,0.297456473
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.134909824,0.229531303,0.603618979,0.031939831
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",0.004971918,0.029592123,0.386692673,0.578743279
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",0.229986846,0.385533601,0.329385877,0.055093657
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",0.014465334,0.002305439,0.083414257,0.899814904
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",0.000176974,0.002523328,0.353865147,0.643434525
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.021848828,0.285884678,0.418553978,0.273712456
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",0.168554157,0.187053815,0.162579596,0.481812388
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",0.000105391,0.00061669,0.002631807,0.996645987
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",0.000633114,0.473210901,0.062038176,0.464117825
" ""The Sun Also Rises.txt""",1," ""MIXED""",0.707475603,0.027090156,0.023841579,0.241592705
" ""The Sun Also Rises.txt""",1," ""POSITIVE""",7.97E-05,0.000528642,0.004118814,0.995272815
" ""The Sun Also Rises.txt""",1," ""NEGATIVE""",0.037064429,0.899816215,0.059188306,0.003930991
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.053699624,0.09174183,0.8281129,0.026445609
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.005938412,0.044183183,0.927856624,0.022021802
" ""The Sun Also Rises.txt""",1," ""NEUTRAL""",0.008457088,0.004845323,0.974113524,0.012584127
