name,company,year,Price,kms_driven,fuel_type
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,80000,45000,Petrol
Mahindra Jeep CL550 MDI,Mahindra,2006,"4,25,000",40,Diesel
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014,"3,25,000",28000,Petrol
Ford EcoSport Titanium 1.5L TDCi,Ford,2014,"5,75,000",36000,Diesel
Ford Figo,Ford,2012,"1,75,000",41000,Diesel
Hyundai Eon,Hyundai,2013,"1,90,000",25000,Petrol
Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,"8,30,000",24530,Diesel
Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,"2,50,000",60000,Petrol
Skoda Fabia Classic 1.2 MPI,Skoda,2010,"1,82,000",60000,Petrol
Maruti Suzuki Stingray VXi,Maruti,2015,"3,15,000",30000,Petrol
Hyundai Elite i20 Magna 1.2,Hyundai,2014,"4,15,000",32000,Petrol
Mahindra Scorpio SLE BS IV,Mahindra,2015,"3,20,000",48660,Diesel
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,80000,45000,Petrol
Mahindra Jeep CL550 MDI,Mahindra,2006,"4,25,000",40,Diesel
Audi A8,Audi,2017,"10,00,000",4000,Petrol
Audi Q7,Audi,2014,"5,00,000",16934,Diesel
Mahindra Scorpio S10,Mahindra,2016,"3,50,000",43000,Diesel
Maruti Suzuki Alto 800,Maruti,2014,"1,60,000",35550,Petrol
Mahindra Scorpio S10,Mahindra,2016,"3,50,000",43000,Diesel
Mahindra Scorpio S10,Mahindra,2016,"3,10,000",39522,Diesel
Maruti Suzuki Alto 800 Vxi,Maruti,2015,75000,39000,Petrol
Hyundai i20 Sportz 1.2,Hyundai,2012,"1,00,000",55000,Petrol
Hyundai i20 Sportz 1.2,Hyundai,2012,"1,00,000",55000,Petrol
Hyundai i20 Sportz 1.2,Hyundai,2012,"1,00,000",55000,Petrol
Maruti Suzuki Alto 800 Lx,Maruti,2017,"1,90,000",72000,Petrol
Maruti Suzuki Vitara Brezza ZDi,Maruti,2016,"2,90,000",15975,Diesel
Maruti Suzuki Alto LX,Maruti,2008,95000,70000,Petrol
Mahindra Bolero DI,Mahindra,2017,"1,80,000",23452,Diesel
Maruti Suzuki Swift Dzire ZDi,Maruti,2014,"3,85,000",35522,Diesel
Mahindra Scorpio S10 4WD,Mahindra,2015,"2,50,000",48508,Diesel
Maruti Suzuki Swift Vdi BSIII,Maruti,2017,"1,80,000",15487,Petrol
Maruti Suzuki Wagon R VXi BS III,Maruti,2013,"1,05,000",39000,Petrol
Maruti Suzuki Wagon R VXi Minor,Maruti,2013,"1,05,000",39000,Petrol
Toyota Innova 2.0 G 8 STR BS IV,Toyota,2012,"6,50,000",82000,Diesel
Renault Lodgy 85 PS RXL,Renault,2018,"6,89,999",20000,Diesel
Skoda Yeti Ambition 2.0 TDI CR 4x2,Skoda,2012,"4,48,000",68000,Diesel
Maruti Suzuki Baleno Delta 1.2,Maruti,2017,"5,49,000",32000,Diesel
Renault Duster 110 PS RxZ Diesel Plus,Renault,2012,"5,01,000",38000,Diesel
Renault Duster 85 PS RxE Diesel,Renault,2013,"4,89,999",27000,Diesel
Honda City 1.5 S MT,Honda,2011,"2,80,000",33000,Petrol
Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,"2,50,000",60000,Petrol
Maruti Suzuki Dzire,Maruti,2013,"3,49,999",46000,Diesel
Honda Amaze,Honda,2013,"2,84,999",46000,Diesel
Honda Amaze 1.5 SX i DTEC,Honda,2015,"3,45,000",36000,Diesel
Honda City,Honda,2015,"4,99,999",55000,Petrol
Datsun Redi GO S,Datsun,2017,"2,35,000",16000,Petrol
Maruti Suzuki SX4 ZXI MT,Maruti,2010,"2,49,999",36000,Petrol
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,"14,75,000",47000,Diesel
Mahindra Bolero DI,Mahindra,2017,"1,80,000",23452,Diesel
Maruti Suzuki Swift Dzire ZDi,Maruti,2014,"3,85,000",35522,Diesel
Mahindra Scorpio S10 4WD,Mahindra,2015,"2,50,000",48508,Diesel
Maruti Suzuki Swift Vdi BSIII,Maruti,2017,"1,80,000",15487,Petrol
Maruti Suzuki Wagon R VXi BS III,Maruti,2013,"1,05,000",39000,Petrol
Maruti Suzuki Wagon R VXi Minor,Maruti,2013,"1,05,000",39000,Petrol
Mahindra Scorpio S10,Mahindra,2015,"3,95,000",35000,Diesel
Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2017,"2,20,000",30874,Petrol
Honda City ZX CVT,Honda,2017,"1,70,000",15000,Diesel
Maruti Suzuki Wagon R LX BS IV,Maruti,2013,85000,29685,Petrol
Ford Figo,Ford,2012,"1,75,000",41000,Diesel
Hyundai Eon,Hyundai,2013,"1,90,000",25000,Petrol
Tata Indigo eCS LS CR4 BS IV,Tata,2017,"2,00,000","1,30,000 ",Diesel
Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,"8,30,000",24530,Diesel
Tata Indigo eCS LS CR4 BS IV,Tata,2017,"2,00,000","1,30,000 ",Diesel
Mahindra Scorpio SLE BS IV,Mahindra,2012,"5,70,000",19000,Diesel
Volkswagen Polo Highline Exquisite P,Volkswagen,2014,"3,15,000",60000,Petrol
Skoda Fabia Classic 1.2 MPI,Skoda,2010,"1,82,000",60000,Petrol
Maruti Suzuki Stingray VXi,Maruti,2015,"3,15,000",30000,Petrol
Chevrolet Spark LS 1.0,Chevrolet,2010,"1,10,000",41000,Petrol
Renault Duster 110PS Diesel RxZ,Renault,2012,"5,01,000",35000,Diesel
Honda City,Honda,2015,"4,48,999",54000,Petrol
Mini Cooper S 1.6,Mini,2013,"18,91,111",13000,Petrol
Datsun Redi GO S,Datsun,2017,"2,35,000",16000,Petrol
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,"1,59,500",38200,Diesel
